review_id,product_category,review_text,rating,source,cleaned_text,compound_score,sentiment
demo_00026,Consumer Electronics,"I am very happy with this portable blender; battery life, build, and comfort are great.",5.0,offline_demo_generator,am very happy portable blender battery life build comfort great,0.5164,positive
demo_00027,Consumer Electronics,The wireless earbuds works perfectly and the quality is excellent for the price.,4.0,offline_demo_generator,wireless earbuds works perfectly quality excellent price,0.8321,positive
demo_00028,Consumer Electronics,"The laptop backpack is decent, but I need more time to decide if it is worth it.",2.5,offline_demo_generator,laptop backpack decent need more time decide if worth,0.0,neutral
demo_00029,Consumer Electronics,"The smart desk lamp feels premium, performs reliably, and I would recommend it.",5.0,offline_demo_generator,smart desk lamp feels premium performs reliably would recommend,0.8321,positive
demo_00030,Consumer Electronics,The smart desk lamp works perfectly and the quality is excellent for the price.,5.0,offline_demo_generator,smart desk lamp works perfectly quality excellent price,0.8018,positive
demo_00031,Consumer Electronics,"The smart desk lamp is acceptable for basic use, although the packaging could improve.",3.5,offline_demo_generator,smart desk lamp acceptable basic use although packaging could improve,0.0,neutral
demo_00032,Consumer Electronics,"The fitness tracker feels premium, performs reliably, and I would recommend it.",4.0,offline_demo_generator,fitness tracker feels premium performs reliably would recommend,0.866,positive
demo_00033,Consumer Electronics,Great value and easy to use. This fitness tracker solved exactly what I needed.,4.0,offline_demo_generator,great value easy use fitness tracker solved exactly what needed,1.0,positive
demo_00034,Consumer Electronics,Fantastic purchase. The wireless earbuds arrived quickly and exceeded my expectations.,5.0,offline_demo_generator,fantastic purchase wireless earbuds arrived quickly exceeded my expectations,0.9045,positive
demo_00035,Consumer Electronics,"I am very happy with this portable blender; battery life, build, and comfort are great.",4.5,offline_demo_generator,am very happy portable blender battery life build comfort great,0.5164,positive
demo_00036,Consumer Electronics,I would not buy this smart desk lamp again because it failed during normal use.,1.0,offline_demo_generator,would not buy smart desk lamp again because failed during normal use,-0.5164,negative
demo_00037,Consumer Electronics,"The laptop backpack is okay overall, but nothing special compared with alternatives.",2.5,offline_demo_generator,laptop backpack okay overall nothing special compared alternatives,0.0,neutral
demo_00038,Consumer Electronics,Disappointed with this fitness tracker. The quality feels cheap and unreliable.,1.0,offline_demo_generator,disappointed fitness tracker quality feels cheap unreliable,-0.603,negative
demo_00039,Consumer Electronics,The smart desk lamp works perfectly and the quality is excellent for the price.,4.0,offline_demo_generator,smart desk lamp works perfectly quality excellent price,0.8018,positive
demo_00040,Consumer Electronics,"The wireless earbuds is decent, but I need more time to decide if it is worth it.",2.5,offline_demo_generator,wireless earbuds decent need more time decide if worth,0.0,neutral
demo_00041,Consumer Electronics,Great value and easy to use. This laptop backpack solved exactly what I needed.,4.0,offline_demo_generator,great value easy use laptop backpack solved exactly what needed,1.0,positive
demo_00042,Consumer Electronics,"The smart desk lamp feels premium, performs reliably, and I would recommend it.",4.0,offline_demo_generator,smart desk lamp feels premium performs reliably would recommend,0.8321,positive
demo_00043,Consumer Electronics,"The portable blender arrived late, had scratches, and did not perform as advertised.",1.5,offline_demo_generator,portable blender arrived late had scratches did not perform advertised,-0.8321,negative
demo_00044,Consumer Electronics,"Bad experience. The fitness tracker is uncomfortable, noisy, and not worth the price.",2.0,offline_demo_generator,bad experience fitness tracker uncomfortable noisy not worth price,-1.0,negative
demo_00045,Consumer Electronics,"I am very happy with this portable blender; battery life, build, and comfort are great.",4.0,offline_demo_generator,am very happy portable blender battery life build comfort great,0.5164,positive
demo_00046,Consumer Electronics,Great value and easy to use. This smart desk lamp solved exactly what I needed.,4.0,offline_demo_generator,great value easy use smart desk lamp solved exactly what needed,1.0,positive
demo_00047,Consumer Electronics,"The wireless earbuds is okay overall, but nothing special compared with alternatives.",3.5,offline_demo_generator,wireless earbuds okay overall nothing special compared alternatives,0.0,neutral
demo_00048,Consumer Electronics,"The portable blender is okay overall, but nothing special compared with alternatives.",2.5,offline_demo_generator,portable blender okay overall nothing special compared alternatives,0.0,neutral
demo_00049,Consumer Electronics,I would not buy this wireless earbuds again because it failed during normal use.,1.0,offline_demo_generator,would not buy wireless earbuds again because failed during normal use,-0.5345,negative
demo_00050,Consumer Electronics,"I am very happy with this laptop backpack; battery life, build, and comfort are great.",5.0,offline_demo_generator,am very happy laptop backpack battery life build comfort great,0.5164,positive
demo_00051,Consumer Electronics,Great value and easy to use. This smart desk lamp solved exactly what I needed.,4.5,offline_demo_generator,great value easy use smart desk lamp solved exactly what needed,1.0,positive
demo_00052,Consumer Electronics,"The laptop backpack feels premium, performs reliably, and I would recommend it.",4.0,offline_demo_generator,laptop backpack feels premium performs reliably would recommend,0.866,positive
demo_00053,Consumer Electronics,Fantastic purchase. The laptop backpack arrived quickly and exceeded my expectations.,4.5,offline_demo_generator,fantastic purchase laptop backpack arrived quickly exceeded my expectations,0.9045,positive
demo_00054,Consumer Electronics,The wireless earbuds works perfectly and the quality is excellent for the price.,4.0,offline_demo_generator,wireless earbuds works perfectly quality excellent price,0.8321,positive
demo_00055,Consumer Electronics,The fitness tracker works perfectly and the quality is excellent for the price.,4.0,offline_demo_generator,fitness tracker works perfectly quality excellent price,0.8321,positive
demo_00056,Consumer Electronics,"The smart desk lamp feels premium, performs reliably, and I would recommend it.",4.0,offline_demo_generator,smart desk lamp feels premium performs reliably would recommend,0.8321,positive
demo_00057,Consumer Electronics,"The fitness tracker feels premium, performs reliably, and I would recommend it.",4.0,offline_demo_generator,fitness tracker feels premium performs reliably would recommend,0.866,positive
demo_00058,Consumer Electronics,"Bad experience. The wireless earbuds is uncomfortable, noisy, and not worth the price.",2.0,offline_demo_generator,bad experience wireless earbuds uncomfortable noisy not worth price,-1.0,negative
demo_00059,Consumer Electronics,The smart desk lamp works perfectly and the quality is excellent for the price.,4.0,offline_demo_generator,smart desk lamp works perfectly quality excellent price,0.8018,positive
demo_00060,Consumer Electronics,Disappointed with this portable blender. The quality feels cheap and unreliable.,1.5,offline_demo_generator,disappointed portable blender quality feels cheap unreliable,-0.603,negative
demo_00061,Consumer Electronics,"The portable blender feels premium, performs reliably, and I would recommend it.",4.0,offline_demo_generator,portable blender feels premium performs reliably would recommend,0.866,positive
demo_00062,Consumer Electronics,"The wireless earbuds feels premium, performs reliably, and I would recommend it.",4.5,offline_demo_generator,wireless earbuds feels premium performs reliably would recommend,0.866,positive
demo_00063,Consumer Electronics,"The laptop backpack arrived late, had scratches, and did not perform as advertised.",1.5,offline_demo_generator,laptop backpack arrived late had scratches did not perform advertised,-0.8321,negative
demo_00064,Consumer Electronics,"Mixed experience. Some features are useful, but the smart desk lamp has minor issues.",2.5,offline_demo_generator,mixed experience some features useful smart desk lamp has minor issues,-0.2673,negative
demo_00065,Consumer Electronics,The portable blender works perfectly and the quality is excellent for the price.,5.0,offline_demo_generator,portable blender works perfectly quality excellent price,0.8321,positive
demo_00066,Consumer Electronics,"The wireless earbuds is acceptable for basic use, although the packaging could improve.",2.5,offline_demo_generator,wireless earbuds acceptable basic use although packaging could improve,0.0,neutral
demo_00067,Consumer Electronics,Great value and easy to use. This laptop backpack solved exactly what I needed.,5.0,offline_demo_generator,great value easy use laptop backpack solved exactly what needed,1.0,positive
demo_00068,Consumer Electronics,The smart desk lamp works perfectly and the quality is excellent for the price.,4.0,offline_demo_generator,smart desk lamp works perfectly quality excellent price,0.8018,positive
demo_00069,Consumer Electronics,"I am very happy with this wireless earbuds; battery life, build, and comfort are great.",4.5,offline_demo_generator,am very happy wireless earbuds battery life build comfort great,0.5164,positive
demo_00070,Consumer Electronics,"I am very happy with this smart desk lamp; battery life, build, and comfort are great.",5.0,offline_demo_generator,am very happy smart desk lamp battery life build comfort great,0.5,positive
demo_00071,Consumer Electronics,"The smart desk lamp is okay overall, but nothing special compared with alternatives.",3.0,offline_demo_generator,smart desk lamp okay overall nothing special compared alternatives,0.0,neutral
demo_00072,Consumer Electronics,"The smart desk lamp is decent, but I need more time to decide if it is worth it.",3.0,offline_demo_generator,smart desk lamp decent need more time decide if worth,0.0,neutral
demo_00073,Consumer Electronics,"The portable blender arrived late, had scratches, and did not perform as advertised.",1.0,offline_demo_generator,portable blender arrived late had scratches did not perform advertised,-0.8321,negative
demo_00074,Consumer Electronics,Fantastic purchase. The portable blender arrived quickly and exceeded my expectations.,4.5,offline_demo_generator,fantastic purchase portable blender arrived quickly exceeded my expectations,0.9045,positive
demo_00075,Consumer Electronics,The wireless earbuds works perfectly and the quality is excellent for the price.,4.5,offline_demo_generator,wireless earbuds works perfectly quality excellent price,0.8321,positive
demo_00076,Consumer Electronics,"The smart desk lamp is okay overall, but nothing special compared with alternatives.",2.5,offline_demo_generator,smart desk lamp okay overall nothing special compared alternatives,0.0,neutral
demo_00077,Consumer Electronics,Fantastic purchase. The smart desk lamp arrived quickly and exceeded my expectations.,4.0,offline_demo_generator,fantastic purchase smart desk lamp arrived quickly exceeded my expectations,0.866,positive
demo_00078,Consumer Electronics,Disappointed with this wireless earbuds. The quality feels cheap and unreliable.,1.5,offline_demo_generator,disappointed wireless earbuds quality feels cheap unreliable,-0.603,negative
demo_00079,Consumer Electronics,Great value and easy to use. This laptop backpack solved exactly what I needed.,5.0,offline_demo_generator,great value easy use laptop backpack solved exactly what needed,1.0,positive
demo_00080,Consumer Electronics,The smart desk lamp works perfectly and the quality is excellent for the price.,5.0,offline_demo_generator,smart desk lamp works perfectly quality excellent price,0.8018,positive
demo_00081,Consumer Electronics,The fitness tracker stopped working after a few days and customer support was poor.,1.0,offline_demo_generator,fitness tracker stopped working after few days customer support poor,-0.5345,negative
demo_00082,Consumer Electronics,Great value and easy to use. This wireless earbuds solved exactly what I needed.,4.0,offline_demo_generator,great value easy use wireless earbuds solved exactly what needed,1.0,positive
demo_00083,Consumer Electronics,"I am very happy with this smart desk lamp; battery life, build, and comfort are great.",5.0,offline_demo_generator,am very happy smart desk lamp battery life build comfort great,0.5,positive
demo_00084,Consumer Electronics,Great value and easy to use. This fitness tracker solved exactly what I needed.,4.5,offline_demo_generator,great value easy use fitness tracker solved exactly what needed,1.0,positive
demo_00085,Consumer Electronics,The wireless earbuds works perfectly and the quality is excellent for the price.,5.0,offline_demo_generator,wireless earbuds works perfectly quality excellent price,0.8321,positive
demo_00086,Consumer Electronics,The fitness tracker works perfectly and the quality is excellent for the price.,4.0,offline_demo_generator,fitness tracker works perfectly quality excellent price,0.8321,positive
demo_00087,Consumer Electronics,Fantastic purchase. The portable blender arrived quickly and exceeded my expectations.,4.0,offline_demo_generator,fantastic purchase portable blender arrived quickly exceeded my expectations,0.9045,positive
demo_00088,Consumer Electronics,"Mixed experience. Some features are useful, but the smart desk lamp has minor issues.",3.5,offline_demo_generator,mixed experience some features useful smart desk lamp has minor issues,-0.2673,negative
demo_00089,Consumer Electronics,"I am very happy with this wireless earbuds; battery life, build, and comfort are great.",5.0,offline_demo_generator,am very happy wireless earbuds battery life build comfort great,0.5164,positive
demo_00090,Consumer Electronics,Great value and easy to use. This fitness tracker solved exactly what I needed.,5.0,offline_demo_generator,great value easy use fitness tracker solved exactly what needed,1.0,positive
demo_00091,Consumer Electronics,The portable blender works perfectly and the quality is excellent for the price.,4.5,offline_demo_generator,portable blender works perfectly quality excellent price,0.8321,positive
demo_00092,Consumer Electronics,Fantastic purchase. The wireless earbuds arrived quickly and exceeded my expectations.,4.0,offline_demo_generator,fantastic purchase wireless earbuds arrived quickly exceeded my expectations,0.9045,positive
demo_00093,Consumer Electronics,"The wireless earbuds is acceptable for basic use, although the packaging could improve.",3.5,offline_demo_generator,wireless earbuds acceptable basic use although packaging could improve,0.0,neutral
demo_00094,Consumer Electronics,I would not buy this laptop backpack again because it failed during normal use.,2.0,offline_demo_generator,would not buy laptop backpack again because failed during normal use,-0.5345,negative
demo_00095,Consumer Electronics,"I am very happy with this portable blender; battery life, build, and comfort are great.",4.0,offline_demo_generator,am very happy portable blender battery life build comfort great,0.5164,positive
demo_00096,Consumer Electronics,Disappointed with this wireless earbuds. The quality feels cheap and unreliable.,2.0,offline_demo_generator,disappointed wireless earbuds quality feels cheap unreliable,-0.603,negative
demo_00097,Consumer Electronics,Disappointed with this laptop backpack. The quality feels cheap and unreliable.,1.5,offline_demo_generator,disappointed laptop backpack quality feels cheap unreliable,-0.603,negative
demo_00098,Consumer Electronics,"The wireless earbuds feels premium, performs reliably, and I would recommend it.",4.0,offline_demo_generator,wireless earbuds feels premium performs reliably would recommend,0.866,positive
demo_00099,Consumer Electronics,Disappointed with this portable blender. The quality feels cheap and unreliable.,1.5,offline_demo_generator,disappointed portable blender quality feels cheap unreliable,-0.603,negative
demo_00100,Consumer Electronics,"I am very happy with this portable blender; battery life, build, and comfort are great.",4.0,offline_demo_generator,am very happy portable blender battery life build comfort great,0.5164,positive
demo_00101,Consumer Electronics,"The laptop backpack is acceptable for basic use, although the packaging could improve.",3.0,offline_demo_generator,laptop backpack acceptable basic use although packaging could improve,0.0,neutral
demo_00102,Consumer Electronics,"The fitness tracker arrived late, had scratches, and did not perform as advertised.",2.0,offline_demo_generator,fitness tracker arrived late had scratches did not perform advertised,-0.8321,negative
demo_00103,Consumer Electronics,Fantastic purchase. The smart desk lamp arrived quickly and exceeded my expectations.,4.0,offline_demo_generator,fantastic purchase smart desk lamp arrived quickly exceeded my expectations,0.866,positive
demo_00104,Consumer Electronics,"I am very happy with this fitness tracker; battery life, build, and comfort are great.",5.0,offline_demo_generator,am very happy fitness tracker battery life build comfort great,0.5164,positive
demo_00105,Consumer Electronics,The fitness tracker stopped working after a few days and customer support was poor.,1.0,offline_demo_generator,fitness tracker stopped working after few days customer support poor,-0.5345,negative
demo_00106,Consumer Electronics,"The fitness tracker is acceptable for basic use, although the packaging could improve.",3.0,offline_demo_generator,fitness tracker acceptable basic use although packaging could improve,0.0,neutral
demo_00107,Consumer Electronics,"The smart desk lamp is okay overall, but nothing special compared with alternatives.",3.0,offline_demo_generator,smart desk lamp okay overall nothing special compared alternatives,0.0,neutral
demo_00108,Consumer Electronics,"The portable blender arrived late, had scratches, and did not perform as advertised.",1.0,offline_demo_generator,portable blender arrived late had scratches did not perform advertised,-0.8321,negative
demo_00109,Consumer Electronics,"The wireless earbuds is decent, but I need more time to decide if it is worth it.",3.5,offline_demo_generator,wireless earbuds decent need more time decide if worth,0.0,neutral
demo_00110,Consumer Electronics,"The portable blender is acceptable for basic use, although the packaging could improve.",3.0,offline_demo_generator,portable blender acceptable basic use although packaging could improve,0.0,neutral
demo_00111,Consumer Electronics,Great value and easy to use. This fitness tracker solved exactly what I needed.,4.5,offline_demo_generator,great value easy use fitness tracker solved exactly what needed,1.0,positive
demo_00112,Consumer Electronics,"The wireless earbuds is acceptable for basic use, although the packaging could improve.",3.5,offline_demo_generator,wireless earbuds acceptable basic use although packaging could improve,0.0,neutral
demo_00113,Consumer Electronics,Fantastic purchase. The laptop backpack arrived quickly and exceeded my expectations.,4.5,offline_demo_generator,fantastic purchase laptop backpack arrived quickly exceeded my expectations,0.9045,positive
demo_00114,Consumer Electronics,It works as expected. The smart desk lamp has average quality and standard features.,2.5,offline_demo_generator,works expected smart desk lamp has average quality standard features,0.2673,positive
demo_00115,Consumer Electronics,"I am very happy with this laptop backpack; battery life, build, and comfort are great.",5.0,offline_demo_generator,am very happy laptop backpack battery life build comfort great,0.5164,positive
demo_00116,Consumer Electronics,Great value and easy to use. This laptop backpack solved exactly what I needed.,4.0,offline_demo_generator,great value easy use laptop backpack solved exactly what needed,1.0,positive
demo_00117,Consumer Electronics,"The portable blender feels premium, performs reliably, and I would recommend it.",5.0,offline_demo_generator,portable blender feels premium performs reliably would recommend,0.866,positive
demo_00118,Consumer Electronics,"Mixed experience. Some features are useful, but the fitness tracker has minor issues.",3.0,offline_demo_generator,mixed experience some features useful fitness tracker has minor issues,-0.2774,negative
demo_00119,Consumer Electronics,Great value and easy to use. This portable blender solved exactly what I needed.,4.5,offline_demo_generator,great value easy use portable blender solved exactly what needed,1.0,positive
demo_00120,Consumer Electronics,The portable blender stopped working after a few days and customer support was poor.,1.5,offline_demo_generator,portable blender stopped working after few days customer support poor,-0.5345,negative
demo_00121,Consumer Electronics,Fantastic purchase. The smart desk lamp arrived quickly and exceeded my expectations.,4.0,offline_demo_generator,fantastic purchase smart desk lamp arrived quickly exceeded my expectations,0.866,positive
demo_00122,Consumer Electronics,"The portable blender arrived late, had scratches, and did not perform as advertised.",1.0,offline_demo_generator,portable blender arrived late had scratches did not perform advertised,-0.8321,negative
demo_00123,Consumer Electronics,The portable blender stopped working after a few days and customer support was poor.,1.0,offline_demo_generator,portable blender stopped working after few days customer support poor,-0.5345,negative
demo_00124,Consumer Electronics,Great value and easy to use. This laptop backpack solved exactly what I needed.,4.0,offline_demo_generator,great value easy use laptop backpack solved exactly what needed,1.0,positive
demo_00125,Consumer Electronics,"I am very happy with this smart desk lamp; battery life, build, and comfort are great.",5.0,offline_demo_generator,am very happy smart desk lamp battery life build comfort great,0.5,positive
demo_00126,Consumer Electronics,"Mixed experience. Some features are useful, but the laptop backpack has minor issues.",2.5,offline_demo_generator,mixed experience some features useful laptop backpack has minor issues,-0.2774,negative
demo_00127,Consumer Electronics,The wireless earbuds works perfectly and the quality is excellent for the price.,4.5,offline_demo_generator,wireless earbuds works perfectly quality excellent price,0.8321,positive
demo_00128,Consumer Electronics,"The smart desk lamp feels premium, performs reliably, and I would recommend it.",4.0,offline_demo_generator,smart desk lamp feels premium performs reliably would recommend,0.8321,positive
demo_00129,Consumer Electronics,"The wireless earbuds feels premium, performs reliably, and I would recommend it.",4.0,offline_demo_generator,wireless earbuds feels premium performs reliably would recommend,0.866,positive
demo_00130,Consumer Electronics,I would not buy this smart desk lamp again because it failed during normal use.,2.0,offline_demo_generator,would not buy smart desk lamp again because failed during normal use,-0.5164,negative
demo_00131,Consumer Electronics,Great value and easy to use. This laptop backpack solved exactly what I needed.,5.0,offline_demo_generator,great value easy use laptop backpack solved exactly what needed,1.0,positive
demo_00132,Consumer Electronics,I would not buy this laptop backpack again because it failed during normal use.,1.5,offline_demo_generator,would not buy laptop backpack again because failed during normal use,-0.5345,negative
demo_00133,Consumer Electronics,"Bad experience. The laptop backpack is uncomfortable, noisy, and not worth the price.",1.5,offline_demo_generator,bad experience laptop backpack uncomfortable noisy not worth price,-1.0,negative
demo_00134,Consumer Electronics,"The fitness tracker is decent, but I need more time to decide if it is worth it.",3.0,offline_demo_generator,fitness tracker decent need more time decide if worth,0.0,neutral
demo_00135,Consumer Electronics,"Mixed experience. Some features are useful, but the fitness tracker has minor issues.",2.5,offline_demo_generator,mixed experience some features useful fitness tracker has minor issues,-0.2774,negative
demo_00136,Consumer Electronics,"The portable blender is acceptable for basic use, although the packaging could improve.",3.0,offline_demo_generator,portable blender acceptable basic use although packaging could improve,0.0,neutral
demo_00137,Consumer Electronics,The smart desk lamp works perfectly and the quality is excellent for the price.,4.0,offline_demo_generator,smart desk lamp works perfectly quality excellent price,0.8018,positive
demo_00138,Consumer Electronics,"I am very happy with this laptop backpack; battery life, build, and comfort are great.",5.0,offline_demo_generator,am very happy laptop backpack battery life build comfort great,0.5164,positive
demo_00139,Consumer Electronics,"The laptop backpack feels premium, performs reliably, and I would recommend it.",4.5,offline_demo_generator,laptop backpack feels premium performs reliably would recommend,0.866,positive
demo_00140,Consumer Electronics,The laptop backpack works perfectly and the quality is excellent for the price.,4.0,offline_demo_generator,laptop backpack works perfectly quality excellent price,0.8321,positive
demo_00141,Consumer Electronics,I would not buy this laptop backpack again because it failed during normal use.,2.0,offline_demo_generator,would not buy laptop backpack again because failed during normal use,-0.5345,negative
demo_00142,Consumer Electronics,"The smart desk lamp feels premium, performs reliably, and I would recommend it.",4.5,offline_demo_generator,smart desk lamp feels premium performs reliably would recommend,0.8321,positive
demo_00143,Consumer Electronics,Fantastic purchase. The fitness tracker arrived quickly and exceeded my expectations.,4.5,offline_demo_generator,fantastic purchase fitness tracker arrived quickly exceeded my expectations,0.9045,positive
demo_00144,Consumer Electronics,I would not buy this laptop backpack again because it failed during normal use.,2.0,offline_demo_generator,would not buy laptop backpack again because failed during normal use,-0.5345,negative
demo_00145,Consumer Electronics,It works as expected. The smart desk lamp has average quality and standard features.,3.0,offline_demo_generator,works expected smart desk lamp has average quality standard features,0.2673,positive
demo_00146,Consumer Electronics,"The laptop backpack feels premium, performs reliably, and I would recommend it.",4.0,offline_demo_generator,laptop backpack feels premium performs reliably would recommend,0.866,positive
demo_00147,Consumer Electronics,"I am very happy with this laptop backpack; battery life, build, and comfort are great.",4.5,offline_demo_generator,am very happy laptop backpack battery life build comfort great,0.5164,positive
demo_00148,Consumer Electronics,I would not buy this smart desk lamp again because it failed during normal use.,1.0,offline_demo_generator,would not buy smart desk lamp again because failed during normal use,-0.5164,negative
demo_00149,Consumer Electronics,I would not buy this smart desk lamp again because it failed during normal use.,2.0,offline_demo_generator,would not buy smart desk lamp again because failed during normal use,-0.5164,negative
demo_00150,Consumer Electronics,"I am very happy with this laptop backpack; battery life, build, and comfort are great.",4.5,offline_demo_generator,am very happy laptop backpack battery life build comfort great,0.5164,positive
demo_00151,Consumer Electronics,"The fitness tracker feels premium, performs reliably, and I would recommend it.",4.5,offline_demo_generator,fitness tracker feels premium performs reliably would recommend,0.866,positive
demo_00152,Consumer Electronics,Fantastic purchase. The fitness tracker arrived quickly and exceeded my expectations.,4.5,offline_demo_generator,fantastic purchase fitness tracker arrived quickly exceeded my expectations,0.9045,positive
demo_00153,Consumer Electronics,Fantastic purchase. The laptop backpack arrived quickly and exceeded my expectations.,4.0,offline_demo_generator,fantastic purchase laptop backpack arrived quickly exceeded my expectations,0.9045,positive
demo_00154,Consumer Electronics,The smart desk lamp works perfectly and the quality is excellent for the price.,4.5,offline_demo_generator,smart desk lamp works perfectly quality excellent price,0.8018,positive
demo_00155,Consumer Electronics,The wireless earbuds works perfectly and the quality is excellent for the price.,4.0,offline_demo_generator,wireless earbuds works perfectly quality excellent price,0.8321,positive
demo_00156,Consumer Electronics,The portable blender stopped working after a few days and customer support was poor.,2.0,offline_demo_generator,portable blender stopped working after few days customer support poor,-0.5345,negative
demo_00157,Consumer Electronics,"The portable blender feels premium, performs reliably, and I would recommend it.",5.0,offline_demo_generator,portable blender feels premium performs reliably would recommend,0.866,positive
demo_00158,Consumer Electronics,"The portable blender feels premium, performs reliably, and I would recommend it.",5.0,offline_demo_generator,portable blender feels premium performs reliably would recommend,0.866,positive
demo_00159,Consumer Electronics,"I am very happy with this fitness tracker; battery life, build, and comfort are great.",5.0,offline_demo_generator,am very happy fitness tracker battery life build comfort great,0.5164,positive
demo_00160,Consumer Electronics,It works as expected. The wireless earbuds has average quality and standard features.,3.0,offline_demo_generator,works expected wireless earbuds has average quality standard features,0.2774,positive
demo_00161,Consumer Electronics,Fantastic purchase. The wireless earbuds arrived quickly and exceeded my expectations.,5.0,offline_demo_generator,fantastic purchase wireless earbuds arrived quickly exceeded my expectations,0.9045,positive
demo_00162,Consumer Electronics,"Mixed experience. Some features are useful, but the laptop backpack has minor issues.",3.5,offline_demo_generator,mixed experience some features useful laptop backpack has minor issues,-0.2774,negative
demo_00163,Consumer Electronics,"I am very happy with this smart desk lamp; battery life, build, and comfort are great.",4.0,offline_demo_generator,am very happy smart desk lamp battery life build comfort great,0.5,positive
demo_00164,Consumer Electronics,"The fitness tracker is decent, but I need more time to decide if it is worth it.",2.5,offline_demo_generator,fitness tracker decent need more time decide if worth,0.0,neutral
demo_00165,Consumer Electronics,The smart desk lamp stopped working after a few days and customer support was poor.,1.5,offline_demo_generator,smart desk lamp stopped working after few days customer support poor,-0.5164,negative
